GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)
11876	P21554	AQLBSQIWQHCSHE-GOTSBHOMSA-N	Ki	22.0	22.0	nM	17383180
11877	P21554	AQLBSQIWQHCSHE-PKTZIBPZSA-N	Kb	2.2	2.2	nM	17383180
11877	P21554	AQLBSQIWQHCSHE-PKTZIBPZSA-N	Ki	6.3	6.3	nM	17383180
11880	P21554	AQLBSQIWQHCSHE-UHFFFAOYSA-N	Ki	6.3	6.3	nM	17383180
11880	P21554	AQLBSQIWQHCSHE-UHFFFAOYSA-N	Ki	18.0	18.0	nM	17383180
11880	P21554	AQLBSQIWQHCSHE-UHFFFAOYSA-N	Ki	22.0	22.0	nM	17383180
11881	P21554	AQLBSQIWQHCSHE-XZOQPEGZSA-N	Kb	9.2	9.2	nM	17383180
11881	P21554	AQLBSQIWQHCSHE-XZOQPEGZSA-N	Ki	18.0	18.0	nM	17383180
11908	P21554	AQMKNQJYMDENMS-UHFFFAOYSA-N	Inhibition	27.1	27.1	%	12672243
11986	P21554	AQPCQPVLFFQSHP-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	19921781
11999	P21554	AQPNOTUHFDEZEY-UHFFFAOYSA-N	IC50	424.0	424.0	nM	18243711
12035	P21554	AQQTZODZRROJFT-KRWDZBQOSA-N	Ki	1099.0	1099.0	nM	17466519
12113	P21554	AQUQEVUSKMXXQD-UHFFFAOYSA-N	Kd	7.943	7.943	nM	16140010
12113	P21554	AQUQEVUSKMXXQD-UHFFFAOYSA-N	Ki	832.0	832.0	nM	16140010
12213	P21554	AQYPSRMAPSCFEJ-CLJLJLNGSA-N	Ki	29.0	29.0	nM	9784115
12349	P21554	ARDOVZGGFDHOFM-UHFFFAOYSA-N	IC50	18.0	18.0	nM	19954978
12352	P21554	ARDRKGQVGKQXBA-UHFFFAOYSA-N	Activity	20.0	0.0	%	16279809
12443	P21554	ARGUCAOPWRLIDM-UHFFFAOYSA-N	Activity	0.0	60.0	%	23017078
12443	P21554	ARGUCAOPWRLIDM-UHFFFAOYSA-N	Ki	0.0	1000.0	nM	25699149,23017078
12475	P21554	ARHNEGMIXHNISU-UHFFFAOYSA-N	Activity	10.0	0.0	%	17915849
12513	P21554	ARJDJIBUVUCWLQ-UHFFFAOYSA-N	Ke	4.0	4.0	nM	24041123
12513	P21554	ARJDJIBUVUCWLQ-UHFFFAOYSA-N	Ki	2.55	2.55	nM	24041123
12800	P21554	ARVFXAYGEHUEPX-UHFFFAOYSA-N	Inhibition	17.0	17.0	%	23350768
12800	P21554	ARVFXAYGEHUEPX-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	23350768
