gpcrdb_id,species,p-value,unit,pKi,assay_type,assay_des,source,molwt,logp,smiles,doi
85978,Human,6.3,pKi,6.3,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,358,3.3,CCCCCn1cc(C(=O)NC2CCCCC2)c(=O)c2c(C)nn(C)c21,10.1021/jm301527r
85979,Human,5.9,pKi,5.9,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,344,2.9,CCCCn1cc(C(=O)NC2CCCCC2)c(=O)c2c(C)nn(C)c21,10.1021/jm301527r
85980,Human,6.1,pKi,6.1,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,330,2.5,CCCn1cc(C(=O)NC2CCCCC2)c(=O)c2c(C)nn(C)c21,10.1021/jm301527r
85982,Human,5.4,pKi,5.4,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,372,3.7,CCCCCCn1cc(C(=O)NC2CCCCC2)c(=O)c2c(C)nn(C)c21,10.1021/jm301527r
85983,Human,5.4,pKi,5.4,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,378,3.2,Cc1nn(C)c2c1c(=O)c(C(=O)NC1CCCCC1)cn2Cc1ccccc1,10.1021/jm301527r
85984,Human,6.0,pKi,6.0,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,372,3.5,CCCCCn1cc(C(=O)NCC2CCCCC2)c(=O)c2c(C)nn(C)c21,10.1021/jm301527r
85987,Human,6.6,pKi,6.6,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,372,3.7,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)c2c(C)nn(C)c21,10.1021/jm301527r
85988,Human,6.1,pKi,6.1,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,410,3.9,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2c(C)nn(C)c21,10.1021/jm301527r
85990,Human,5.8,pKi,5.8,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,374,3.8,CCCCCn1cc(C(=O)NC(C)CCC(C)C)c(=O)c2c(C)nn(C)c21,10.1021/jm301527r
85961,Human,6.1,pKi,6.1,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,352,3.5,CCCCCn1cc(C(=O)Nc2ccccc2)c(=O)c2c(C)nn(C)c21,10.1021/jm301527r
